[2026-05-27T18:57:32.065Z] GET http://localhost:3000/ → 200 (126ms, 1231B)
[2026-05-27T18:57:32.199Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (126ms, 19813B)
[2026-05-27T18:57:32.199Z] GET https://cdn.jsdelivr.net/npm/@xterm/xterm@6.0.0/css/xterm.css → 200 (88ms, 7112B)
[2026-05-27T18:57:32.201Z] GET http://localhost:3000/assets/index-DbjBZwdA.js → pending (?ms, ?B)
[2026-05-27T18:57:32.201Z] GET http://localhost:3000/assets/index-B1IWQ5N0.css → pending (?ms, ?B)
[2026-05-27T18:57:33.004Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (129ms, 48256B)
[2026-05-27T18:57:33.004Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (132ms, 31432B)
[2026-05-27T19:00:20.708Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-05-27T19:00:25.977Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (2ms, 19813B)
[2026-05-27T19:00:25.979Z] GET https://cdn.jsdelivr.net/npm/@xterm/xterm@6.0.0/css/xterm.css → 200 (?ms, 7112B)
[2026-05-27T19:00:25.980Z] GET http://localhost:3000/assets/index-DbjBZwdA.js → pending (?ms, ?B)
[2026-05-27T19:00:25.980Z] GET http://localhost:3000/assets/index-B1IWQ5N0.css → pending (?ms, ?B)
[2026-05-27T19:00:35.134Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (2ms, ?B)
[2026-05-27T19:00:35.136Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
